id_in_movielens,id_in_metadata
1,862
2,710
3,5
4,8012
5,1710
7,63
8,9598
9,687
11,807
12,629
13,11448
15,2054
16,4482
17,755
18,46785
19,880
20,8447
21,10874
22,197
23,103
24,33542
25,11000
26,16388
28,568
29,414
30,649
31,8963
32,26564
33,8068
34,13552
37,34574
39,281
40,9090
41,11017
42,2292
43,8984
44,11929
45,10451
46,20156
47,522
48,14275
49,11777
50,11
51,4476
52,11318
53,241
54,6950
56,680
58,11450
59,110
60,108
61,109
62,2164
63,11395
64,278
65,1587
66,2064
67,3049
68,9495
69,13
70,712
71,8587
73,9359
74,315
75,316098
76,6075
78,1634
80,9255
81,11934
82,329
85,10872
86,1245
87,14291
88,858
89,78
90,10442
91,9479
92,319
93,11446
94,771
96,280
97,581
98,274
99,408
100,275
101,11827
102,10112
103,19042
104,36259
105,9099
107,18989
108,18414
109,3065
110,27281
111,8866
113,11876
116,32513
117,9802
119,85778
120,9879
122,9894
123,10779
124,26748
125,9294
126,47907
127,238
130,22479
131,164
133,770
134,15
135,62
136,3083
137,18203
138,10680
140,6878
142,12335
143,15121
144,562
145,10163
146,48862
147,11412
148,10586
149,25147
152,11561
153,623
156,500
157,792
158,8491
159,402
160,9504
161,744
162,11816
163,11843
165,4480
166,65703
167,10765
168,762
169,531
170,11216
171,892
172,1891
173,2493
174,85
175,68
176,679
179,185
180,28
181,1892
182,769
183,348
184,766
186,525
187,240
188,600
189,530
191,279
192,1578
193,9549
194,9277
195,218
196,207
197,37247
198,9322
199,826
200,694
201,765
202,137
204,105
205,11202
206,149
208,3034
209,11031
210,89
211,651
212,10644
213,11257
215,2323
216,639
217,86889
220,25189
221,145
222,199
223,12498
224,12709
225,11674
226,1573
227,174
229,157
230,168
231,364
232,11967
233,8845
234,578
235,75
236,13891
237,9390
238,378
239,2322
242,784
244,9311
245,4477
246,2255
247,6499
248,9434
249,816
250,18
252,330
253,26422
254,415
255,8874
257,607
258,686
259,10603
260,8413
261,20737
262,14585
264,4961
265,1669
266,17832
268,2255
269,9427
270,782
271,563
272,489
276,451
279,146599
281,8987
282,1645
284,10478
285,11159
286,409
287,9819
288,4232
289,8818
290,12145
291,66
292,25624
293,9366
294,1624
295,2163
297,55306
298,754
299,22073
300,9772
301,10806
302,2118
303,55306
304,11076
305,68924
307,1813
308,29911
309,14583
311,45609
312,8197
315,9445
317,7984
318,424
319,9716
320,17204
322,9415
323,9619
324,638
326,4421
327,2142
328,8834
329,9458
332,9437
333,2649
334,10155
335,28353
336,12628
337,33344
338,1281
339,9770
340,4995
341,61337
342,9414
343,8078
344,2895
345,2639
346,184
347,586
348,9458
349,11258
351,9033
352,6116
353,9457
354,11003
355,10153
357,510
358,10336
361,45928
362,11568
363,9091
364,9273
365,12665
366,9909
367,9603
368,9536
370,9095
371,688
372,17447
373,9482
374,9070
375,10802
376,17207
380,193
381,236
382,2759
383,888
385,36955
386,2758
388,306
390,20239
391,9593
392,210653
393,788
394,22588
395,8005
396,11592
397,11074
398,9607
400,10897
401,9066
405,954
406,10280
407,10535
408,532
410,11543
412,12606
414,31044
415,18660
416,22660
419,433
422,11238
423,601
425,10608
426,1857
427,595
428,343
430,3063
431,8009
432,756
433,2640
434,830
435,642
436,814
438,27214
439,33519
440,16235
442,41848
443,571
445,30346
446,13549
449,152
450,172
451,621
452,579
453,17692
454,41240
456,9622
457,18519
458,10858
460,27526
461,10149
462,18183
463,14334
464,32636
466,10427
467,1607
468,14534
469,695
470,11969
471,10684
473,10539
474,935
475,627
476,2925
478,981
479,426
480,213
482,239
483,289
485,11113
487,804
490,381
491,10907
492,220
493,3529
494,3085
496,1585
497,900
498,488
499,261
500,11076
501,11360
502,11302
504,475
505,521
506,221
508,1630
511,947
512,144
513,1092
514,703
515,387
516,11235
517,696
518,379
519,3090
520,5925
521,11778
522,1554
523,903
524,914
527,783
528,625
529,8816
530,983
531,7863
533,49806
534,31465
535,2058
536,38523
537,468
540,11517
541,9312
542,10530
545,12158
547,16934
548,27793
549,11780
550,1572
551,8973
552,9348
553,9560
554,9804
555,31611
558,1024
559,628
560,37108
561,3036
564,25066
566,9331
568,1637
570,12160
571,9409
573,4722
574,18215
575,11310
576,9350
577,9612
578,9739
579,26141
581,10909
582,713
583,2088
585,13203
586,9057
589,576
590,8766
591,1592
594,22621
597,9268
598,144982
601,27854
602,2769
604,3078
605,909
606,705
607,223
611,1939
619,11306
620,6346
621,35115
622,18444
624,15947
625,9078
626,29682
627,8367
628,819
629,12614
630,11575
631,11386
632,15764
636,1103
637,11298
638,4483
639,659
641,975
642,18129
644,14285
646,335
647,11645
648,3109
649,311
650,490
651,9665
653,1480
654,829
655,235
659,212
660,1633
662,16633
663,10322
664,655
667,49126
668,37843
669,32146
670,4722
671,229
672,9529
675,653
676,20539
677,168283
680,17832
681,10351
682,3597
684,9386
685,2320
686,9559
687,14908
689,4824
690,978
692,9087
693,524
695,28387
696,11062
697,10474
700,17402
701,41647
702,16771
703,25440
704,2259
705,872
706,49763
708,1412
709,10409
710,13667
711,168535
712,10896
714,47018
715,577
717,9623
719,1775
720,6520
721,2293
722,11472
723,9382
724,22625
725,18395
727,13701
729,1945
730,10452
731,10464
732,11566
733,18620
734,12121
735,9800
736,10445
737,12519
738,10635
